coin_number,title,short_id,url,upload_date,duration
92,Silver Coin #92 has been found in #HuntTheMouse Singapore!,2ooXTbBsuDU,https://www.youtube.com/shorts/2ooXTbBsuDU,20241018,22
93,Silver Coin #93 has been found in #HuntTheMouse Singapore!,21VRSST-C88,https://www.youtube.com/shorts/21VRSST-C88,20241018,14
94,Silver Coin #94 has been found in #HuntTheMouse Singapore!,t31QGfg2VkI,https://www.youtube.com/shorts/t31QGfg2VkI,20241019,18
96,Silver Coin #96 has been found in #HuntTheMouse Singapore!,Mnuh1whYNNw,https://www.youtube.com/shorts/Mnuh1whYNNw,20241018,17
97,Silver Coin #97 has been found in #HuntTheMouse Singapore!,RlM6ItUHlDY,https://www.youtube.com/shorts/RlM6ItUHlDY,20241019,16
98,Silver Coin #98 has been found in #HuntTheMouse Singapore!,itXg2l1Q3ho,https://www.youtube.com/shorts/itXg2l1Q3ho,20241019,17
99,Silver Coin #99 has been found in #HuntTheMouse Singapore!,dNP9Ke30tSY,https://www.youtube.com/shorts/dNP9Ke30tSY,20241019,20
100,Silver Coin #100 has been found in #HuntTheMouse Singapore!,3yCxyL_g7-w,https://www.youtube.com/shorts/3yCxyL_g7-w,20241018,12
101,Silver Coin #101 has been found in #HuntTheMouse Singapore!,QBXDu1se1_A,https://www.youtube.com/shorts/QBXDu1se1_A,20241019,13
102,Silver Coin #102 has been found in #HuntTheMouse Singapore!,fqABpTmr02k,https://www.youtube.com/shorts/fqABpTmr02k,20241018,19
103,Silver Coin #103 has been found in #HuntTheMouse Singapore!,9QWaKS_CYwc,https://www.youtube.com/shorts/9QWaKS_CYwc,20241019,16
104,Silver Coin #104 has been found in #HuntTheMouse Singapore!,2eWHPWNRkWY,https://www.youtube.com/shorts/2eWHPWNRkWY,20241019,12
105,Silver Coin #105 has been found in #HuntTheMouse Singapore!,3y2NRavoa_k,https://www.youtube.com/shorts/3y2NRavoa_k,20241019,14
106,Silver Coin #106 has been found in #HuntTheMouse Singapore!,WRNn-IM5noA,https://www.youtube.com/shorts/WRNn-IM5noA,20241020,15
107,Silver Coin #107 has been found in #HuntTheMouse Singapore!,nBKvWX56yfM,https://www.youtube.com/shorts/nBKvWX56yfM,20241021,20
108,Silver Coin #108 has been found in #HuntTheMouse Singapore!,uqb9O96QzlU,https://www.youtube.com/shorts/uqb9O96QzlU,20241018,15
109,Silver Coin #109 has been found in #HuntTheMouse Singapore!,lP574agxNM4,https://www.youtube.com/shorts/lP574agxNM4,20241020,15
110,Silver Coin #110 has been found in #HuntTheMouse Singapore!,y7ooDGGzLuk,https://www.youtube.com/shorts/y7ooDGGzLuk,20241021,16
111,Silver Coin #111 has been found in #HuntTheMouse Singapore!,3YVB1zuFoyA,https://www.youtube.com/shorts/3YVB1zuFoyA,20241021,17
112,Silver Coin #112 has been found in #HuntTheMouse Singapore!,WUEQZwboLt8,https://www.youtube.com/shorts/WUEQZwboLt8,20241019,14
113,Silver Coin #113 has been found in #HuntTheMouse Singapore!,O1tm7ywBJIM,https://www.youtube.com/shorts/O1tm7ywBJIM,20241020,17
114,Silver Coin #114 has been found in #HuntTheMouse Singapore!,ruiAXEWJVsc,https://www.youtube.com/shorts/ruiAXEWJVsc,20241020,17
