coin_number,series,title,views,short_id,url
12,Ho Chi Minh City,Silver Coin #12 has been found in #HuntTheMouse — Ho Chi Minh City!,481 views,dBTvbQYxkgw,https://www.youtube.com/shorts/dBTvbQYxkgw
12,SG60 Edition,Silver Coin #12 has been found in Revolut #HuntTheMouse — SG60 Edition!,984 views,_9McgQ4GLr4,https://www.youtube.com/shorts/_9McgQ4GLr4
12,Sentosa Edition,Sentosa Silver Coin #12 has been found in #HuntTheMouse — Sentosa Edition!,1K views,K326WMt9YbQ,https://www.youtube.com/shorts/K326WMt9YbQ
12,Singapore,Silver Coin #12 has been found in #HuntTheMouse Singapore!,1.8K views,H3dOYRce8CE,https://www.youtube.com/shorts/H3dOYRce8CE
12,Singapore,Silver Coin #12 has been found in #HuntTheMouse Singapore!,1.2K views,U8OWQhrw_r8,https://www.youtube.com/shorts/U8OWQhrw_r8
12,pandamart,Silver Coin #12 has been found in pandamart #HuntTheMouse!,1.5K views,KTF2gBgNBvY,https://www.youtube.com/shorts/KTF2gBgNBvY
13,Ho Chi Minh City,Silver Coin #13 has been found in #HuntTheMouse — Ho Chi Minh City!,905 views,9Upr_fBK0-k,https://www.youtube.com/shorts/9Upr_fBK0-k
13,Ho Chi Minh City,Silver Coin #13 has been found in #HuntTheMouse — Ho Chi Minh City!,642 views,IE7CZFv81C8,https://www.youtube.com/shorts/IE7CZFv81C8
13,SG60 Edition,Silver Coin #13 has been found in Revolut #HuntTheMouse — SG60 Edition!,1.2K views,8_4IYcVjDTs,https://www.youtube.com/shorts/8_4IYcVjDTs
13,Sentosa Edition,Sentosa Silver Coin #13 has been found in #HuntTheMouse — Sentosa Edition!,999 views,VeCF8JYWmT8,https://www.youtube.com/shorts/VeCF8JYWmT8
13,Singapore,Silver Coin #13 has been found in #HuntTheMouse Singapore!,1.5K views,EeEDdDbaZCU,https://www.youtube.com/shorts/EeEDdDbaZCU
13,Singapore,Silver Coin #13 has been found in #HuntTheMouse Singapore!,707 views,T8HY90cCOpw,https://www.youtube.com/shorts/T8HY90cCOpw
13,pandamart,Silver Coin #13 has been found in pandamart #HuntTheMouse!,804 views,lCnZmTfQ1fE,https://www.youtube.com/shorts/lCnZmTfQ1fE
14,Ho Chi Minh City,Silver Coin #14 has been found in #HuntTheMouse — Ho Chi Minh City!,466 views,aUvNpMIkaiE,https://www.youtube.com/shorts/aUvNpMIkaiE
14,SG60 Edition,Silver Coin #14 has been found in Revolut #HuntTheMouse — SG60 Edition!,426 views,SGiEvMBxD-I,https://www.youtube.com/shorts/SGiEvMBxD-I
14,Sentosa Edition,Sentosa Silver Coin #14 has been found in #HuntTheMouse — Sentosa Edition!,1.2K views,7bHOfgoeOmY,https://www.youtube.com/shorts/7bHOfgoeOmY
14,Singapore,Silver Coin #14 has been found in #HuntTheMouse Singapore!,1.9K views,GF40nA3H9Is,https://www.youtube.com/shorts/GF40nA3H9Is
14,Singapore,Silver Coin #14 has been found in #HuntTheMouse Singapore!,2.4K views,YN6u0g88wQw,https://www.youtube.com/shorts/YN6u0g88wQw
14,Singapore,Silver Coin #14 has been found in #HuntTheMouse Singapore!,658 views,qbGjvG3d9Rc,https://www.youtube.com/shorts/qbGjvG3d9Rc
